delta,snum,s_topic,description,document_url,s_creator_user_id,s_code_language,env_kind,s_content_type,code_url,code_identifier,product_url,product_image_url,is_runnable,is_deployable,is_docker,s_updated_yyyy,s_updated_mm,updated_day,yyyy_mm_dd
-,Dw-Mo3,Mobile,Explains briefly about SDK in the introduction,https://www.ibm.com/developerworks/opensource/tutorials/os-eclipse-androidwidget/index.html,10077,js,nodejs:84,PDF,https://www.ibm.com/developerworks/opensource/tutorials/os-eclipse-androidwidget/index.html,Introduction to Android development Using Eclipse and Android widgets,,,,,,2017,6,27,2017_06_105
-,Dw-Mo4,Mobile,UI design for mobile web,https://www.ibm.com/developerworks/library/wa-interface/,10078,js,nodejs:85,PDF,https://www.ibm.com/developerworks/library/wa-interface/,User interface design for the mobile web,,,,,,2017,6,27,2017_06_106
-,Dw-Mo5,Mobile,Creating UI in Xcode,https://developer.ibm.com/courses/labs/create-ui-swift-xcode-dwc013/,10079,js,nodejs:86,HTML,https://developer.ibm.com/courses/labs/create-ui-swift-xcode-dwc013/,Create a UI in Swift and Xcode,,,,,,2017,6,27,2017_06_107
-,Dw-Mo6,Mobile,Has 3 parts,https://www.ibm.com/developerworks/library/wa-ground/,10080,js,nodejs:87,PDF + Zip of souce code,https://www.ibm.com/developerworks/library/wa-ground/,Getting started with Dojo development,,,,,,2017,6,27,2017_06_108
-,Sa-Mo2,Mobile,Course III - Developing Mobile Web applications with Dojo Mobile ,http://ibm.biz/ibmskillsacademy,10081,js,nodejs:88,PDF,http://ibm.biz/ibmskillsacademy,Module II - Mobile Development Foundations,,,,,,2017,6,27,2017_06_109
-,Sa-Mo1,Mobile,Course I - Roadmap to Mobile Web Development,http://ibm.biz/ibmskillsacademy,10082,js,nodejs:89,PDF,http://ibm.biz/ibmskillsacademy,Module II - Mobile Development Foundations ,,,,,,2017,6,27,2017_06_110
-,Dw-Mo7,Mobile,Introduction to Jquery mobile,https://www.ibm.com/developerworks/library/wa-jqmobile/index.html,10083,js,nodejs:90,PDF + Zip of souce code,https://www.ibm.com/developerworks/library/wa-jqmobile/index.html,Introduction to jQuery Mobile,,,,,,2017,6,27,2017_06_111
-,Sa-Mo3,Mobile,Course 4 - Developing Mobile Web applications with jQuery,http://ibm.biz/ibmskillsacademy,10084,js,nodejs:91,PDF,http://ibm.biz/ibmskillsacademy,Module II - Mobile Development Foundations ,,,,,,2017,6,27,2017_06_112
-,Dw-Mo8,Mobile,Setting up Xcode for ios development,https://mobilefirstplatform.ibmcloud.com/tutorials/en/foundation/6.3/setting-up-your-development-environment/setting-ios-development-environment/,10085,js,nodejs:92,HTML ,https://mobilefirstplatform.ibmcloud.com/tutorials/en/foundation/6.3/setting-up-your-development-environment/setting-ios-development-environment/,Setting up your iOS development environment,,,,,,2017,6,27,2017_06_113
-,Dw-Mo9,Mobile,Node.js for java,https://www.ibm.com/developerworks/library/j-nodejs/index.html,10086,js,nodejs:93,PDF,https://www.ibm.com/developerworks/library/j-nodejs/index.html,Node.js for Java developers,,,,,,2017,6,27,2017_06_114
-,Dw-Mo10,Mobile,HandsOn: 2 parts for developing with node.js and mongoDB,https://www.ibm.com/developerworks/library/mo-nodejs-1/index.html,10087,js,nodejs:94,PDF,https://www.ibm.com/developerworks/library/mo-nodejs-1/index.html,Developing mobile apps with Node.js and MongoDB,,,,,,2017,6,27,2017_06_115
-,Dw-Mo11,Mobile,We can use the explanation of what are push notifications,https://mobilefirstplatform.ibmcloud.com/tutorials/en/foundation/7.1/notifications/push-notifications-overview/,10088,js,nodejs:95,PDF,https://mobilefirstplatform.ibmcloud.com/tutorials/en/foundation/7.1/notifications/push-notifications-overview/,Push Notifications Overview,,,,,,2017,6,27,2017_06_116
-,Dw-Mo12,Mobile,Native Android mobile applications ,https://www.ibm.com/developerworks/websphere/techjournal/1410_kislicins/1410_kislicins2.html?ca=drs-,10089,js,nodejs:96,PDF,https://www.ibm.com/developerworks/websphere/techjournal/1410_kislicins/1410_kislicins2.html?ca=drs-," Start pushing, Enable push notification subscriptions in your native Android mobile applications ",,,,,,2017,6,27,2017_06_117
-,Dw-Mo13,Mobile,Native iOS mobile applications ,https://www.ibm.com/developerworks/websphere/techjournal/1410_kislicins/1410_kislicins1.html?ca=drs-,10090,js,nodejs:97,PDF,https://www.ibm.com/developerworks/websphere/techjournal/1410_kislicins/1410_kislicins1.html?ca=drs-," Start pushing, Enable push notification subscriptions in your native iOS mobile applications ",,,,,,2017,6,27,2017_06_118
-,Dw-Mo14,Mobile,Second section explains how to use native APIs,https://www.ibm.com/developerworks/websphere/techjournal/1310_amrhein/1310_amrhein.html,10091,js,nodejs:98,PDF,https://www.ibm.com/developerworks/websphere/techjournal/1310_amrhein/1310_amrhein.html,Developing native mobile apps with IBM Worklight,,,,,,2017,6,27,2017_06_119
-,Sa-Mo4,Mobile,Course 1,http://ibm.biz/ibmskillsacademy,10092,js,nodejs:99,PDF,http://ibm.biz/ibmskillsacademy, Module 3 ,,,,,,2017,6,27,2017_06_120
